Incident Date,State,City Or County,Address,Participant Gender,Participant Age Group
11-Nov-24,New Mexico,Las Cruces,1300 block of S Espina St,male,Adult 18+
11-Nov-24,New Mexico,Albuquerque,2401 San Mateo Blvd NE,male,Adult 18+
10-Nov-24,New Mexico,Albuquerque,Mountain Rd NE and Georgia St NE,male,Adult 18+
10-Nov-24,New Mexico,Albuquerque,Mountain Rd NE and Georgia St NE,male,Unknown
10-Nov-24,New Mexico,Santa Fe,3700 block of Camino Tierra Real,male,Adult 18+
10-Nov-24,New Mexico,Santa Fe,3700 block of Camino Tierra Real,male,Adult 18+
9-Nov-24,New Mexico,Santa Fe,6332 Entrada de Milagro,male,Adult 18+
9-Nov-24,New Mexico,Santa Fe,6332 Entrada de Milagro,male,Adult 18+
9-Nov-24,New Mexico,Albuquerque,400 Vermont St NE,male,Adult 18+
9-Nov-24,New Mexico,Albuquerque,400 Vermont St NE,male,Adult 18+
5-Nov-24,New Mexico,Chimayo,Juan Medina Rd,male,Adult 18+
5-Nov-24,New Mexico,Chimayo,Juan Medina Rd,female,Adult 18+
5-Nov-24,New Mexico,Chimayo,Juan Medina Rd,male,Adult 18+
2-Nov-24,New Mexico,Santa Fe,NM-599 and N Horizon Ln,male,Teen 12-17
2-Nov-24,New Mexico,Santa Fe,NM-599 and N Horizon Ln,male,Teen 12-17
2-Nov-24,New Mexico,Santa Fe,NM-599 and N Horizon Ln,male,Teen 12-17
1-Nov-24,New Mexico,Bayard,US-180,female,Adult 18+
1-Nov-24,New Mexico,Bayard,US-180,male,Adult 18+
1-Nov-24,New Mexico,Bayard,US-180,male,Adult 18+
30-Oct-24,New Mexico,Rio Rancho,Inca Rd and 2nd St SE,male,Teen 12-17
29-Oct-24,New Mexico,Clayton,301 Magnolia St,male,Teen 12-17
29-Oct-24,New Mexico,Clayton,301 Magnolia St,female,Child 0-11
29-Oct-24,New Mexico,Albuquerque,5015 Larchmont Dr NE,male,Adult 18+
29-Oct-24,New Mexico,Albuquerque,5015 Larchmont Dr NE,male,Adult 18+
27-Oct-24,New Mexico,Clovis,900 block of W Plaza Dr,male,Teen 12-17
27-Oct-24,New Mexico,Clovis,900 block of W Plaza Dr,female,Adult 18+
27-Oct-24,New Mexico,Clovis,700 block of S Sandoval St,male,Adult 18+
27-Oct-24,New Mexico,Clovis,700 block of S Sandoval St,male,Adult 18+
22-Oct-24,New Mexico,Albuquerque,Lost Horizon Dr NW,male,Adult 18+
22-Oct-24,New Mexico,Albuquerque,Lost Horizon Dr NW,female,Adult 18+
21-Oct-24,New Mexico,Hobbs,N Dal Paso St and E Navajo Dr,male,Adult 18+
21-Oct-24,New Mexico,Hobbs,N Dal Paso St and E Navajo Dr,male,Teen 12-17
21-Oct-24,New Mexico,Farmington,2900 block of English Rd,female,Adult 18+
21-Oct-24,New Mexico,Farmington,2900 block of English Rd,male,Adult 18+
21-Oct-24,New Mexico,Farmington,2900 block of English Rd,male,Adult 18+
21-Oct-24,New Mexico,Roswell,N Orchard Ave and E 3rd St,male,Adult 18+
21-Oct-24,New Mexico,Roswell,N Orchard Ave and E 3rd St,male,Adult 18+
